epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,71.5629,2.7876,2.55744,2.86791,0,0,0,0,0,0,0,0.0099867,0.0033289,0.0099867,0.0033289,0.0099867,0.0033289,0.0099867,0.0033289
2,129.658,1.77557,1.29863,1.79159,0,0,0,0,0,0,0,0.0197888,0.00659628,0.0197888,0.00659628,0.0197888,0.00659628,0.0197888,0.00659628
3,182.59,1.6722,1.09239,1.68967,0,0,0,0,0,0,0,0.029393,0.00979766,0.029393,0.00979766,0.029393,0.00979766,0.029393,0.00979766
4,233.862,1.59335,0.9764,1.62245,0,0,0,0,0,0,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,284.628,1.53498,0.89414,1.57937,0,0,0,0,0,0,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,335.867,1.49478,0.83764,1.55019,0,0,0,0,0,0,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,386.677,1.4625,0.80655,1.52474,0,0,0,0,0,0,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,437.94,1.43762,0.77316,1.50694,0,0,0,0,0,0,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,488.704,1.41901,0.74694,1.49441,0,0,0,0,0,0,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,539.577,1.40914,0.73148,1.48613,0,0,0,0,0,0,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,590.877,1.38711,0.71175,1.4733,0,0,0,0,0,0,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,641.672,1.38801,0.70336,1.47387,0,0,0,0,0,0,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,693.655,1.37057,0.68886,1.46312,0,0,0,0,0,0,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,744.464,1.3608,0.67711,1.45613,0,0,0,0,0,0,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,795.927,1.3477,0.66635,1.44183,0,0,0,0,0,0,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,846.677,1.34545,0.66034,1.43812,0,0,0,0,0,0,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,898.623,1.34179,0.65305,1.43477,0,0,0,0,0,0,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,949.365,1.32871,0.64629,1.42682,0,0,0,0,0,0,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1000.73,1.3232,0.63929,1.4193,0,0,0,0,0,0,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1051.4,1.31259,0.63451,1.41725,0,0,0,0,0,0,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1102.73,1.30838,0.63081,1.40763,0,0,0,0,0,0,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1153.45,1.30422,0.62248,1.41267,0,0,0,0,0,0,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1204.21,1.30326,0.62629,1.41088,0,0,0,0,0,0,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1255.47,1.29566,0.61401,1.39548,0,0,0,0,0,0,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1306.21,1.29062,0.61282,1.39866,0,0,0,0,0,0,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1357.63,1.28923,0.60537,1.3968,0,0,0,0,0,0,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1408.38,1.27775,0.60143,1.38549,0,0,0,0,0,0,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1459.81,1.27974,0.59875,1.38823,0,0,0,0,0,0,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1510.54,1.27316,0.59539,1.38481,0,0,0,0,0,0,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1561.9,1.26946,0.59414,1.38354,0,0,0,0,0,0,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1612.72,1.27055,0.58782,1.38246,0,0,0,0,0,0,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1664.17,1.26164,0.58691,1.3773,0,0,0,0,0,0,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1714.93,1.25768,0.58741,1.373,0,0,0,0,0,0,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1766.28,1.25202,0.57957,1.37026,0,0,0,0,0,0,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1816.99,1.25939,0.58036,1.37159,0,0,0,0,0,0,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1868.01,1.25536,0.57777,1.36862,0,0,0,0,0,0,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1918.94,1.25382,0.57515,1.36923,0,0,0,0,0,0,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1969.55,1.24246,0.57151,1.36712,0,0,0,0,0,0,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2020.94,1.24078,0.569,1.36059,0,0,0,0,0,0,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2071.65,1.24273,0.56906,1.36164,0,0,0,0,0,0,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2122.94,1.23303,0.56626,1.35818,0,0,0,0,0,0,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2173.68,1.24036,0.56754,1.35796,0,0,0,0,0,0,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2224.96,1.23162,0.55918,1.35414,0,0,0,0,0,0,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2275.62,1.22691,0.55788,1.34807,0,0,0,0,0,0,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2326.95,1.218,0.55554,1.35067,0,0,0,0,0,0,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2377.61,1.22464,0.55407,1.34992,0,0,0,0,0,0,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2428.92,1.22259,0.55296,1.34553,0,0,0,0,0,0,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2479.67,1.21884,0.55183,1.34055,0,0,0,0,0,0,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2531,1.21855,0.54889,1.34544,0,0,0,0,0,0,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,2581.82,1.21453,0.54714,1.33898,0,0,0,0,0,0,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,2632.49,1.21078,0.54282,1.33756,0,0,0,0,0,0,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,2683.8,1.20709,0.54127,1.34011,0,0,0,0,0,0,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,2734.66,1.21035,0.54164,1.34003,0,0,0,0,0,0,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,2786.08,1.2046,0.53857,1.33396,0,0,0,0,0,0,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
